,Ano de exibição,Título da obra,Gênero,País(es) produtor(es) da obra,Nacionalidade da obra,Empresa distribuidora,Origem da empresa distribuidora,Público no ano de exibição,Renda (R$) no ano de exibição
243,2019,Escape Room,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,528354.0,7948397.0
244,2019,Espero Tua (Re)Volta,Documentário,Brasil,Brasileira,Taturana,Distribuição Nacional,2834.0,19738.0
245,2019,Espírito Jovem,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Diamond Films,Distribuição Nacional,1284.0,19321.0
246,2019,Estaremos Sempre Juntos,Ficção,"Bélgica, França",Estrangeira,Imovision,Distribuição Nacional,8148.0,139909.0
247,2019,Estação Do Diabo,Ficção,Filipinas,Estrangeira,Zeta Filmes,Distribuição Nacional,253.0,2934.0
248,2019,Estou Me Guardando Para Quando O Carnaval Chegar,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,10561.0,82168.0
249,2019,Eu Acredito,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,24433.0,346306.0
250,2019,Eu Não Sou Uma Bruxa,Ficção,"França, Reino Unido, Zâmbia",Estrangeira,Imovision,Distribuição Nacional,3996.0,58320.0
251,2019,Eu Sinto Muito,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,2860.0,27359.0
252,2019,Eu Sou Brasileiro,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,1512.0,14194.0
253,2019,Eu Sou Mais Eu,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,126718.0,1704761.0
254,2019,Eu Só Posso Imaginar,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,120.0,874.0
255,2019,Euforia,Ficção,Itália,Estrangeira,Espaço Filmes,Distribuição Nacional,2018.0,34427.0
256,2019,Excelentíssimos,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,261.0,1165.0
257,2019,Extraordinário,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,4849.0,34901.0
258,2019,Feliz Aniversário,Ficção,"Bélgica, França",Estrangeira,Imovision,Distribuição Nacional,8748.0,156351.0
259,2019,Fernando,Documentário,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,281.0,3857.0
260,2019,Ferrugem,Ficção,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,72.0,435.0
261,2019,Fevereiros,Documentário,Brasil,Brasileira,Arthouse,Distribuição Nacional,18198.0,237905.0
262,2019,Filhas Do Sol,Ficção,"Bélgica, França, Geórgia, Suíça",Estrangeira,Califórnia,Distribuição Nacional,2456.0,38144.0
263,2019,Filhos Do Pai Eterno,Documentário,Brasil,Brasileira,Imagem,Distribuição Nacional,16.0,278.0
264,2019,Filme Paisagem - Um Olhar Sobre Roberto Burle Marx,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,345.0,5607.0
265,2019,Finalmente Livres,Ficção,França,Estrangeira,Califórnia,Distribuição Nacional,1417.0,24128.0
266,2019,Fogo Contra Fogo - A História De Solomon Mahlangu,Ficção,África do Sul,Estrangeira,Elite Filmes,Distribuição Nacional,120.0,1225.0
267,2019,Fora De Série,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,9695.0,141663.0
268,2019,Ford Vs Ferrari,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,289247.0,5865540.0
269,2019,Foro Íntimo,Ficção,Brasil,Brasileira,Embaúba Filmes,Distribuição Nacional,559.0,7178.0
270,2019,Fourteen,Ficção,Estados Unidos,Estrangeira,Zeta Filmes,Distribuição Nacional,871.0,12083.0
271,2019,Frans Krajcberg: Manifesto,Documentário,Brasil,Brasileira,Lauper,Distribuição Nacional,1715.0,17690.0
272,2019,Galaxias,Documentário,Brasil,Brasileira,Gávea Filmes e Produções,Distribuição Nacional,47.0,288.0
273,2019,Gloria Bell,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,30889.0,569879.0
274,2019,Godzilla Ii – Rei Dos Monstros,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,531661.0,8406747.0
275,2019,Graças A Deus,Ficção,"Bélgica, França",Estrangeira,Califórnia,Distribuição Nacional,7011.0,119907.0
276,2019,Green Book - O Guia,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,620789.0,12754466.0
277,2019,Greta,Ficção,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,7927.0,100614.0
278,2019,Gritos e Sussurros,Ficção,Suécia,Estrangeira,F. J. Cines,Distribuição Nacional,105.0,1024.0
279,2019,Guardiões Da Galáxia Vol. 2,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,16.0,160.0
280,2019,Guaxuma,Documentário,"Brasil, França",Estrangeira,Espaço Filmes,Distribuição Nacional,263.0,2981.0
281,2019,Guerra Fria,Ficção,"França, Polônia, Reino Unido",Estrangeira,Califórnia,Distribuição Nacional,48652.0,778664.0
282,2019,Happy Hour,Ficção,"Argentina, Brasil",Brasileira,Imovision,Distribuição Nacional,3049.0,47688.0
283,2019,Hebe - A Estrela Do Brasil,Ficção,Brasil,Brasileira,Warner,Distribuição Internacional,117058.0,1986774.0
284,2019,Hellboy,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,172859.0,2582744.0
285,2019,Henfil,Documentário,Brasil,Brasileira,O2 Play,Distribuição Nacional,364.0,2591.0
286,2019,Hereditário,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,166.0,1525.0
287,2019,Histórias Assustadoras: Para Contar No Escuro,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,185207.0,2704838.0
288,2019,Histórias Estranhas,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,780.0,7970.0
289,2019,Homem Comum,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,70.0,459.0
290,2019,Homem Livre,Ficção,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,1411.0,14378.0
291,2019,Homem-Aranha Longe De Casa,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,6555353.0,106552456.0
292,2019,Homem-Aranha No Aranhaverso,Animação,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,2057620.0,31259777.0
293,2019,Homem-Aranha: De Volta ao Lar,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,244.0,3142.0
294,2019,Homem-Formiga E A Vespa,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,574.0,4203.0
295,2019,Horácio,Ficção,Brasil,Brasileira,O2 Play,Distribuição Nacional,1211.0,17273.0
296,2019,Hotel Mumbai,Ficção,"Austrália, Estados Unidos",Estrangeira,Imagem,Distribuição Nacional,78873.0,1789611.0
297,2019,Hotel Transilvânia 3: Férias Monstruosas,Animação,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,3291.0,22819.0
298,2019,Humberto Mauro,Documentário,Brasil,Brasileira,Di Mauro Cultura E Arte Producoes Artisticas,Distribuição Nacional,273.0,3149.0
299,2019,Ilha Dos Cachorros,Animação,"Alemanha, Estados Unidos",Estrangeira,Fox,Distribuição Internacional,4.0,72.0
300,2019,Imagem E Palavra,Ficção,"França, Suíça",Estrangeira,Imovision,Distribuição Nacional,6758.0,109591.0
301,2019,Inezita,Documentário,Brasil,Brasileira,Cultura,Distribuição Nacional,873.0,14982.0
302,2019,Inferninho,Ficção,Brasil,Brasileira,Embaúba Filmes,Distribuição Nacional,3765.0,40215.0
303,2019,Infiltrado Na Klan,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,75867.0,1266807.0
304,2019,Inocencia Roubada,Ficção,França,Estrangeira,A2 Filmes,Distribuição Nacional,7901.0,101580.0
305,2019,Intimidade Entre Estranhos,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,157.0,1026.0
306,2019,Intruso,Ficção,Brasil,Brasileira,Pipa Produções,Distribuição Nacional,4123.0,33932.0
307,2019,Invasão Ao Serviço Secreto,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,485206.0,7642791.0
308,2019,It - Capítulo Dois,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,3152655.0,47683860.0
309,2019,It: A Coisa,Ficção,"Canadá, Estados Unidos",Estrangeira,Warner,Distribuição Internacional,1258.0,16921.0
310,2019,Jauja,Ficção,Argentina,Estrangeira,Vitrine Filmes,Distribuição Nacional,40.0,290.0
311,2019,Jesus De Nazaré - O Filho De Deus,Ficção,Espanha,Estrangeira,Vinny Filmes,Distribuição Nacional,2548.0,38528.0
312,2019,Joaquim,Ficção,"Portugal, Brasil",Brasileira,Imovision,Distribuição Nacional,13.0,190.0
313,2019,John Wick 3: Parabellum,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,1003691.0,15699846.0
314,2019,"Jorge, O Padroeiro Guerreiro",Documentário,Brasil,Brasileira,Imagem,Distribuição Nacional,44.0,741.0
315,2019,Jorginho Guinle - Só Se Vive Uma Vez,Documentário,Brasil,Brasileira,Pandora Filmes,Distribuição Nacional,966.0,17397.0
316,2019,Jornada Da Vida,Ficção,"França, Senegal",Estrangeira,Califórnia,Distribuição Nacional,26284.0,439702.0
317,2019,Jovens Infelizes Ou Um Homem Que Grita Não É Um Urso Que Dança,Ficção,Brasil,Brasileira,Embaúba Filmes,Distribuição Nacional,237.0,2338.0
318,2019,Jovens Titãs Em Ação! Nos Cinemas,Animação,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,94.0,550.0
319,2019,Judy,Ficção,Reino Unido,Estrangeira,Paris,Distribuição Nacional,268.0,3682.0
320,2019,"Juliet, Nua E Crua",Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,17.0,85.0
321,2019,Juntos para Sempre,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,167212.0,2448584.0
322,2019,Jurassic World - Reino Ameaçado,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,3408.0,27147.0
323,2019,Kardec,Ficção,Brasil,Brasileira,Sony,Distribuição Internacional,749256.0,11849901.0
324,2019,Kung Fu Panda 3,Animação,"China, Estados Unidos",Estrangeira,Disney,Distribuição Internacional,348.0,6358.0
325,2019,La Cama,Ficção,"Argentina, Brasil",Brasileira,Livres Filmes,Distribuição Nacional,2068.0,28833.0
326,2019,La Vida Útil - Um Conto de Cinema,Ficção,Uruguai,Estrangeira,Vitrine Filmes,Distribuição Nacional,12.0,40.0
327,2019,Las Acacias,Ficção,"Argentina, Espanha",Estrangeira,Vitrine Filmes,Distribuição Nacional,3.0,36.0
328,2019,Las Ineses,Ficção,"Argentina, Brasil",Brasileira,Okna Produções,Distribuição Nacional,897.0,10802.0
329,2019,Legalidade,Ficção,Brasil,Brasileira,Boulevard Filmes,Distribuição Nacional,15993.0,223306.0
330,2019,Legalize Já - Amizade Nunca Morre,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,32.0,160.0
331,2019,Lembro Mais Dos Corvos,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,1994.0,12111.0
332,2019,Leste Oeste,Ficção,Brasil,Brasileira,Kinopus,Distribuição Nacional,359.0,4611.0
333,2019,Leto,Ficção,"França, Rússia",Estrangeira,Imovision,Distribuição Nacional,84.0,934.0
334,2019,Liberdade É Uma Grande Palavra,Documentário,"Brasil, Uruguai",Brasileira,Elo Company,Distribuição Nacional,36.0,323.0
335,2019,Link Perdido,Animação,"Canadá, Estados Unidos",Estrangeira,Disney,Distribuição Internacional,19735.0,276575.0
336,2019,Lizzie,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,10968.0,196214.0
337,2019,Longa Jornada Noite Adentro,Ficção,China,Estrangeira,Zeta Filmes,Distribuição Nacional,1947.0,30227.0
338,2019,Longe Da Árvore,Documentário,Estados Unidos,Estrangeira,Flow Filmes,Distribuição Nacional,4843.0,45470.0
339,2019,Los Silencios,Ficção,"Brasil, Colômbia, França",Brasileira,Vitrine Filmes,Distribuição Nacional,10049.0,138184.0
340,2019,Los Territorios,Documentário,"Argentina, Brasil",Brasileira,Vitrine Filmes,Distribuição Nacional,14.0,32.0
341,2019,Lucky,Ficção,Estados Unidos,Estrangeira,Imovision,Distribuição Nacional,488.0,4760.0
342,2019,Luna,Ficção,Brasil,Brasileira,Cineart Filmes,Distribuição Nacional,1018.0,12400.0
343,2019,Lámen Shop,Ficção,"Cingapura, França, Japão",Estrangeira,Imovision,Distribuição Nacional,34.0,170.0
344,2019,Ma,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,35384.0,554368.0
345,2019,Made In Italy,Ficção,Itália,Estrangeira,Espaço Filmes,Distribuição Nacional,4873.0,89849.0
346,2019,Mais Que Vencedores,Ficção,Estados Unidos,Estrangeira,360 Ent.,Distribuição Nacional,746264.0,9634557.0
347,2019,Mal Nosso,Ficção,Brasil,Brasileira,O2 Play,Distribuição Nacional,2333.0,40570.0
348,2019,Maligno,Ficção,"Estados Unidos, Hong Kong",Estrangeira,Imagem,Distribuição Nacional,187777.0,2801442.0
349,2019,Malévola: Dona Do Mal,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,5786301.0,91400055.0
350,2019,Mama Coronel,Documentário,"Congo, Estados Unidos, França, Holanda",Estrangeira,Vilacine,Distribuição Nacional,190.0,2847.0
351,2019,Mamma Mia! Lá Vamos Nós De Novo,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,66.0,3437.0
352,2019,Marcia Haydée,Documentário,Brasil,Brasileira,Anagrama Filmes,Distribuição Nacional,1420.0,23681.0
353,2019,Maria Callas - Em Suas Próprias Palavras,Documentário,França,Estrangeira,Imovision,Distribuição Nacional,3986.0,56822.0
354,2019,Maria Do Caritó,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,40922.0,639161.0
355,2019,Martin Eden,Ficção,"Alemanha, França, Itália",Estrangeira,Pagu Pictures,Distribuição Nacional,166.0,2370.0
356,2019,Martírio,Documentário,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,11.0,92.0
357,2019,Marés,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,600.0,4332.0
358,2019,Mata Negra,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,199.0,1472.0
359,2019,Matrix,Ficção,"Austrália, Estados Unidos",Estrangeira,Warner,Distribuição Internacional,18260.0,277563.0
360,2019,Maya,Ficção,França,Estrangeira,Zeta Filmes,Distribuição Nacional,3366.0,43523.0
361,2019,Meditation Park,Ficção,Canadá,Estrangeira,Lança Filmes,Distribuição Nacional,4442.0,76070.0
362,2019,Medo Profundo - O Segundo Ataque,Ficção,Reino Unido,Estrangeira,Paris,Distribuição Nacional,153979.0,2122576.0
363,2019,Memórias Da Dor,Ficção,"Bélgica, França, Suíça",Estrangeira,Imovision,Distribuição Nacional,9800.0,161383.0
364,2019,Meu Amigo Enzo,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,198956.0,3052917.0
365,2019,Meu Amigo Fela,Documentário,Brasil,Brasileira,O2 Play,Distribuição Nacional,2529.0,36449.0
366,2019,Meu Amor Por Grace,Ficção,Estados Unidos,Estrangeira,Elite Filmes,Distribuição Nacional,244.0,3516.0
367,2019,Meu Anjo,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,121.0,1262.0
368,2019,Meu Bebê,Ficção,"Bélgica, França",Estrangeira,Bonfilm,Distribuição Nacional,1663.0,24440.0
369,2019,Meu Malvado Favorito 3,Animação,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,834.0,6502.0
370,2019,Meu Mundial,Ficção,"Brasil, Uruguai",Brasileira,Bretz Filmes,Distribuição Nacional,415.0,6388.0
371,2019,Meu Nome É Daniel,Documentário,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,1429.0,14589.0
372,2019,Meu Querido Filho,Ficção,"Bélgica, França, Qatar, Tunísia",Estrangeira,Pandora Filmes,Distribuição Nacional,7850.0,103345.0
373,2019,Meu Tricolor De Aço,Documentário,Brasil,Brasileira,Estação Luz Filmes,Distribuição Nacional,50.0,649.0
374,2019,Mib: Homens De Preto - Internacional,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,982092.0,16333360.0
375,2019,Midsommar,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,66073.0,1138236.0
376,2019,Midway - Batalha Em Alto Mar,Ficção,"China, Estados Unidos",Estrangeira,Diamond Films,Distribuição Nacional,136422.0,2273891.0
377,2019,Milagre,Documentário,Brasil,Brasileira,Ivin Films,Distribuição Nacional,1189.0,21474.0
378,2019,Millennium - A Garota Na Teia De Aranha,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,18.0,180.0
379,2019,Minha Fama De Mau,Ficção,Brasil,Brasileira,Downtown,Distribuição Nacional,110857.0,1794357.0
380,2019,Minha Filha,Ficção,Itália,Estrangeira,Imovision,Distribuição Nacional,490.0,4078.0
381,2019,Minha Irmã De Paris,Ficção,França,Estrangeira,Pagu Pictures,Distribuição Nacional,1947.0,35107.0
382,2019,Minha Lua De Mel Polonesa,Ficção,França,Estrangeira,Pandora Filmes,Distribuição Nacional,7597.0,121936.0
383,2019,Minha Mãe é uma Peça,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,2877.0,13130.0
384,2019,Minha Mãe é uma Peça 2,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,821.0,6544.0
385,2019,Minha Mãe é uma Peça 3,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,2419335.0,38002653.0
386,2019,Minha Obra-Prima,Ficção,"Argentina, Espanha",Estrangeira,Arteplex,Distribuição Nacional,16888.0,294864.0
387,2019,Minha Vida Em Marte,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,4309790.0,66396078.0
388,2019,Moana - Um Mar De Aventuras,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,297.0,2327.0
389,2019,Moonlight - Sob A Luz Do Luar,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,172.0,2156.0
390,2019,Morangos Silvestres,Ficção,Suécia,Estrangeira,F. J. Cines,Distribuição Nacional,129.0,1230.0
391,2019,Mormaço,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,2959.0,35123.0
392,2019,Morto Não Fala,Ficção,Brasil,Brasileira,Pagu Pictures,Distribuição Nacional,26574.0,420760.0
393,2019,Muleque Té Doido! - Mais Doido Ainda,Ficção,Brasil,Brasileira,Raça Ruim Filmes,Distribuição Nacional,12471.0,170706.0
394,2019,"Mulheres Armadas, Homens Na Lata",Ficção,França,Estrangeira,Imovision,Distribuição Nacional,357.0,3739.0
395,2019,Mulher-Maravilha,Ficção,"China, Estados Unidos, Hong Kong",Estrangeira,Warner,Distribuição Internacional,146.0,989.0
396,2019,Mulholland Drive - Cidade dos Sonhos,Ficção,"Estados Unidos, França",Estrangeira,Zeta Filmes,Distribuição Nacional,50.0,920.0
397,2019,Museu,Ficção,México,Estrangeira,Supo Mungam Films,Distribuição Nacional,535.0,5887.0
398,2019,"Mussum, Um Filme Do Cacildis",Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,2388.0,22916.0
399,2019,Máquinas Mortais,Ficção,"Estados Unidos, Nova Zelândia",Estrangeira,Universal,Distribuição Internacional,331309.0,5256817.0
400,2019,Música Para Quando As Luzes Se Apagam,Documentário,Brasil,Brasileira,Arthouse,Distribuição Nacional,35.0,590.0
401,2019,Nada A Perder 2,Ficção,Brasil,Brasileira,Downtown/Paris,Distribuição Nacional,6189465.0,59750402.0
402,2019,Nasce Uma Estrela,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,28396.0,495924.0
403,2019,Neville D'Almeida - Cronista Da Beleza E Do Caos,Documentário,Brasil,Brasileira,Tucumán,Distribuição Nacional,530.0,6436.0
404,2019,"Nico, 1988",Ficção,"Bélgica, Itália",Estrangeira,Supo Mungam Films,Distribuição Nacional,14.0,160.0
405,2019,Nise - O Coração Da Loucura,Ficção,Brasil,Brasileira,Imagem,Distribuição Nacional,14.0,70.0
406,2019,No Coração Do Mundo,Ficção,Brasil,Brasileira,Embaúba Filmes,Distribuição Nacional,430.0,5460.0
407,2019,No Portal Da Eternidade,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,64285.0,1199488.0
408,2019,Noite Mágica,Ficção,Itália,Estrangeira,Imovision,Distribuição Nacional,662.0,8232.0
409,2019,Nos Vemos No Paraíso,Ficção,França,Estrangeira,Pandora Filmes,Distribuição Nacional,189.0,2268.0
410,2019,Nosso Lar,Ficção,Brasil,Brasileira,Disney,Distribuição Internacional,667.0,2668.0
411,2019,Nova Amsterdam,Ficção,Brasil,Brasileira,Engady Cine Vídeo,Distribuição Nacional,268.0,4375.0
412,2019,Novas Espécies - A Expedição Do Século,Documentário,"Brasil, Alemanha",Brasileira,Elo Company,Distribuição Nacional,115.0,2118.0
413,2019,Não Mexa Com Ela,Ficção,Israel,Estrangeira,Pagu Pictures,Distribuição Nacional,13037.0,214824.0
414,2019,Não Olhe!,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,14523.0,267357.0
415,2019,Nós,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,509920.0,8364265.0
416,2019,O Abismo Prateado,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,5.0,105.0
417,2019,O Abraço Da Serpente,Ficção,"Argentina, Colômbia, Venezuela",Estrangeira,Esfera Produções,Distribuição Nacional,125.0,2030.0
418,2019,O Amante Duplo,Ficção,"Bélgica, França",Estrangeira,Califórnia,Distribuição Nacional,22.0,189.0
419,2019,O Amigo Do Rei,Documentário,Brasil,Brasileira,O2 Play,Distribuição Nacional,1654.0,18921.0
420,2019,O Amor Dá Trabalho,Ficção,Brasil,Brasileira,Downtown,Distribuição Nacional,58666.0,912017.0
421,2019,O Animal Cordial,Ficção,Brasil,Brasileira,Califórnia,Distribuição Nacional,30.0,245.0
422,2019,O Anjo,Ficção,Argentina,Estrangeira,Pagu Pictures,Distribuição Nacional,31212.0,562349.0
423,2019,O Banquete,Ficção,Brasil,Brasileira,Imovision,Distribuição Nacional,5.0,72.0
424,2019,O Bar Luva Dourada,Ficção,"Alemanha, França",Estrangeira,Imovision,Distribuição Nacional,9505.0,153272.0
425,2019,O Beijo No Asfalto,Ficção,Brasil,Brasileira,Arthouse,Distribuição Nacional,3100.0,28032.0
426,2019,O Bom Dinossauro,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,40.0,791.0
427,2019,O Caravaggio Roubado,Ficção,"França, Itália",Estrangeira,Pagu Pictures,Distribuição Nacional,12876.0,204020.0
428,2019,O Chalé É Uma Ilha Batida De Vento E Chuva,Documentário,Brasil,Brasileira,Bretz Filmes,Distribuição Nacional,333.0,2701.0
429,2019,O Ciclo Da Vida,Ficção,China,Estrangeira,Esfera Produções,Distribuição Nacional,80.0,552.0
430,2019,O Clube Dos Canibais,Ficção,Brasil,Brasileira,Olhar Distribuição,Distribuição Nacional,1949.0,17408.0
431,2019,O Colar De Coralina,Ficção,Brasil,Brasileira,O2 Play,Distribuição Nacional,31.0,229.0
432,2019,O Confeiteiro,Ficção,"Alemanha, Israel",Estrangeira,Imovision,Distribuição Nacional,28778.0,466460.0
433,2019,O Corpo É Nosso!,Documentário,Brasil,Brasileira,O2 Play,Distribuição Nacional,1392.0,14314.0
434,2019,O Enigma Da Rosa,Ficção,Espanha,Estrangeira,Elite Filmes,Distribuição Nacional,2213.0,33274.0
435,2019,O Escândalo,Ficção,"Canadá, Estados Unidos",Estrangeira,Paris,Distribuição Nacional,327.0,4452.0
436,2019,O Exterminador Do Futuro: Destino Sombrio,Ficção,"China, Estados Unidos",Estrangeira,Disney,Distribuição Internacional,1024351.0,16167184.0
437,2019,O Filho Do Homem,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,1335.0,13808.0
438,2019,O Filme Da Minha Vida,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,9.0,163.0
439,2019,"O Fim Da Viagem, O Começo De Tudo",Ficção,"Japão, Qatar, Uzbequistão",Estrangeira,Zeta Filmes,Distribuição Nacional,2250.0,32378.0
440,2019,O Futuro Adiante,Ficção,Argentina,Estrangeira,Supo Mungam Films,Distribuição Nacional,168.0,1141.0
441,2019,O Galã,Ficção,Brasil,Brasileira,H2O Films,Distribuição Nacional,2128.0,33887.0
442,2019,O Grande Circo Mistico,Ficção,"Brasil, França, Portugal",Brasileira,H2O Films,Distribuição Nacional,360.0,5080.0
443,2019,O Grinch,Animação,"China, Estados Unidos, França, Japão",Estrangeira,Universal,Distribuição Internacional,2466.0,30459.0
444,2019,O Gênio E O Louco,Ficção,Irlanda,Estrangeira,Imagem,Distribuição Nacional,69105.0,1529289.0
445,2019,O Homem Que Matou Don Quixote,Ficção,"Bélgica, Espanha, França, Portugal, Reino Unido",Estrangeira,A2 Filmes,Distribuição Nacional,4568.0,80825.0
446,2019,O Iluminado,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,7697.0,100196.0
447,2019,O Incerto Lugar Do Desejo,Documentário,Brasil,Brasileira,Elo Company,Distribuição Nacional,1038.0,18979.0
448,2019,O Irlandês,Ficção,Estados Unidos,Estrangeira,O2 Play,Distribuição Nacional,22828.0,375386.0
449,2019,O Juízo,Ficção,Brasil,Brasileira,Paris,Distribuição Nacional,11561.0,192240.0
450,2019,O Manicômino,Ficção,Alemanha,Estrangeira,Paris,Distribuição Nacional,108975.0,1712519.0
451,2019,O Mau Exemplo De Cameron Post,Ficção,Estados Unidos,Estrangeira,Pandora Filmes,Distribuição Nacional,8815.0,142509.0
452,2019,O Menino Que Fazia Rir,Ficção,Alemanha,Estrangeira,Pandora Filmes,Distribuição Nacional,4574.0,61122.0
453,2019,O Menino Que Queria Ser Rei,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,230528.0,3242106.0
454,2019,O Mistério De Henri Pick,Ficção,"Bélgica, França",Estrangeira,A2 Filmes,Distribuição Nacional,12749.0,191584.0
455,2019,O Mistério Do Gato Chinês,Ficção,"China, Japão",Estrangeira,Playarte,Distribuição Nacional,7613.0,138031.0
456,2019,O Médico Indiano,Documentário,Estados Unidos,Estrangeira,Espaço Filmes,Distribuição Nacional,12903.0,222364.0
457,2019,O Nó Do Diabo,Ficção,Brasil,Brasileira,Elo Company,Distribuição Nacional,349.0,3042.0
458,2019,O Olho E A Faca,Ficção,Brasil,Brasileira,Califórnia,Distribuição Nacional,1516.0,21078.0
459,2019,O Ornitólogo,Ficção,"Brasil, França, Portugal",Brasileira,Vitrine Filmes,Distribuição Nacional,166.0,1545.0
460,2019,O Paraíso Deve Ser Aqui,Ficção,"Alemanha, Canadá, França, Qatar, Turquia",Estrangeira,Imovision,Distribuição Nacional,13030.0,249818.0
461,2019,O Parque,Ficção,França,Estrangeira,Zeta Filmes,Distribuição Nacional,9.0,70.0
462,2019,O Parque Dos Sonhos,Animação,Estados Unidos,Estrangeira,Paramount,Distribuição Internacional,776716.0,11838012.0
463,2019,O Peso Do Passado,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,19621.0,352161.0
464,2019,O Pintassilgo,Ficção,Estados Unidos,Estrangeira,Warner,Distribuição Internacional,6578.0,128834.0
465,2019,O Primeiro Homem,Ficção,"Estados Unidos, Japão",Estrangeira,Universal,Distribuição Internacional,277.0,2584.0
466,2019,O Processo,Documentário,"Brasil, Alemanha",Brasileira,Vitrine Filmes,Distribuição Nacional,219.0,1413.0
